Type	Title	Description	Cost	BaseRev	ShopRev	CorpID	Level	Increment	Lpos	Tpos	Lcorr	Tcorr	ShopCost	AIValue
0	Пуск	Получи денег!	0	0	0	0	0	10000	0	461	29	0	0	0
1	WebOffice	Мечта web-мастера!	5000	-200	400	1	1	0	0	423	29	0	1000	20
1	Games	"Играем в Монополию ;)"	4000	0	600	1	1	0	0	385	29	0	1100	40
6	Налоги	 	0	0	0	0	0	-5000	0	347	29	0	0	0
1	Business Soft	Строим базы данных!	6000	250	800	1	1	0	0	309	29	0	1200	80
2	Taiwan factory	 	10000	2500	0	9	1	0	0	271	29	0	0	100
1	Acrobat	Почитаем в PDF?	7000	-300	600	2	1	0	0	233	29	0	1300	30
3	West power	 	10000	3000	0	10	1	0	0	195	29	0	0	100
1	Illustrator	Мечта дизайнера	11000	300	1200	2	1	0	0	157	29	0	1500	50
1	Photoshop	Все - в художники!	9000	400	1200	2	1	0	0	119	29	0	1600	90
0	Банк	Получи проценты!	0	0	0	0	0	2000	0	81	29	0	0	0
1	Kilyx	Linux пробовал?	15000	-500	1000	3	2	0	120	0	0	29	2000	20
4	Шанс	 	0	0	0	0	0	0	158	0	0	29	0	0
1	Delphi	Пишем программы!	18000	500	1500	3	2	0	196	0	0	29	2500	60
1	Jbuilder	Java-это модно!	17000	800	1700	3	2	0	234	0	0	29	2500	80
2	European factory	 	12000	2500	0	9	1	0	272	0	0	29	0	90
1	JavaONE	Долой .NET!	20000	-600	1200	4	2	0	310	0	0	29	3000	30
5	Лотерея	 	0	0	0	0	0	0	348	0	0	29	0	0
1	Solaris	Это серьезно!	19000	600	1800	4	2	0	386	0	0	29	3200	50
1	Workstations	Надежная САНтехника	25000	900	2000	4	2	0	424	0	0	29	3500	80
7	Антимонопольный комитет	Грабь монополистов!	0	0	0	0	0	-9999	462	0	0	29	0	0
1	Services	Обслуживай гарантии	30000	-1000	2000	5	3	0	543	121	-29	0	4000	20
6	Налоги	 	0	0	0	0	0	-5000	543	159	-29	0	0	0
1	Printers	За LaserJet - в очередь!	30000	1000	2500	5	3	0	543	197	-29	0	4500	70
1	Servers	Дорого - не значит плохо!	35000	1200	3000	5	3	0	543	235	-29	0	5500	80
2	Japan Factory	 	14000	2500	0	9	1	0	543	273	-29	0	0	80
1	Netscape	Смерть Explorer'у!	40000	-1250	2500	6	3	0	543	311	-29	0	6000	20
3	East power	 	10000	3000	0	10	1	0	543	349	-29	0	0	100
1	Networks	Интернет - в каждый дом!	50000	1500	4000	6	3	0	543	387	-29	0	7000	80
1	Time Worner	Смотрим кино и CNN!	60000	2000	3500	6	3	0	543	425	-29	0	8000	80
0	Ремонт	Пора ремонтироваться!	0	0	0	0	0	-1500	543	463	-29	0	0	0
1	Studio.NET	Долой Java!	70000	-2000	4000	7	4	0	424	543	0	-29	9000	20
4	Шанс	 	0	0	0	0	0	0	386	543	0	-29	0	0
1	Office	Печатаем в Word	75000	2500	6000	7	4	0	348	543	0	-29	10000	80
1	Windows	Главное - маркетинг!	80000	3000	5000	7	4	0	310	543	0	-29	11000	80
2	American factory	 	16000	2500	0	9	1	0	272	543	0	-29	0	70
1	Personal systems	Кто сказал, что PC умер?	90000	-2000	4000	8	4	0	234	543	0	-29	8500	20
5	Лотерея	 	0	0	0	0	0	0	196	543	0	-29	0	0
1	Lotus	Попробуем Notes?	85000	2000	5000	8	4	0	158	543	0	-29	9500	70
1	Mainframes	Раскошелим Пентагон!	100000	4000	6500	8	4	0	120	543	0	-29	12000	90
